,preds,y_test
233415,0,0
73782,0,0
145477,0,0
15239,0,0
229357,1,1
238119,0,0
2408,0,0
77566,0,0
201415,0,0
35040,0,0
230313,0,1
64643,0,0
20894,0,0
127041,0,0
199490,0,0
62301,0,0
216591,0,0
138495,0,0
58729,0,0
19306,0,1
232846,0,0
136541,0,0
198509,0,0
30174,0,0
26779,0,0
147188,0,0
49295,0,0
245108,0,0
98518,0,0
238690,0,1
43294,0,0
191238,0,0
152681,0,1
193576,0,1
200234,0,0
60035,0,0
198624,0,0
131037,0,0
237271,0,0
61077,0,0
10293,0,0
218133,0,0
78665,0,1
79287,0,0
187869,0,0
95115,0,0
184980,0,0
35383,0,0
69143,0,0
55723,0,0
5119,0,0
23675,0,0
117312,0,0
125421,0,0
159594,0,0
5879,0,0
134320,0,0
148392,0,0
135316,0,0
203003,0,0
30894,0,0
165872,0,1
113225,0,0
26943,0,0
198351,0,0
250732,0,0
29929,0,0
153254,0,0
123389,0,0
126147,0,0
38066,0,0
132887,0,0
45688,0,0
152369,0,0
198551,0,0
127405,1,1
180712,0,1
72088,0,0
43254,0,0
174282,0,0
131997,0,0
156357,0,0
210458,0,0
204901,0,0
248830,0,0
198854,0,0
171970,0,1
139575,0,0
219099,0,0
165523,0,0
286,0,0
70289,0,0
164905,0,0
164853,0,0
248838,0,0
206767,0,0
80120,1,1
175740,0,0
89480,0,1
1684,0,0
64374,0,0
113691,0,0
1836,0,0
135695,0,0
188710,0,0
81811,0,0
38403,0,1
101068,0,0
151047,0,0
52230,0,0
127533,0,0
67547,0,1
110088,0,0
121815,0,1
205063,0,0
21954,0,0
25578,0,1
38175,0,0
83623,0,0
126857,0,0
1321,0,0
221810,0,0
51390,0,0
78003,0,0
54463,0,0
220255,0,0
40026,0,0
217174,0,0
122138,0,0
171741,0,0
90030,0,0
85829,0,0
29170,0,1
2513,0,0
213474,0,1
218255,0,0
204740,0,0
130080,0,0
182804,0,1
135485,0,0
19617,0,0
247919,0,0
115711,0,0
244507,0,0
244043,0,0
26450,0,0
241547,0,0
115576,0,0
38116,0,0
25883,0,0
70848,0,1
61301,0,0
198762,0,0
20500,0,0
179837,0,0
126807,0,1
70945,0,0
72839,0,0
142886,0,1
57946,0,0
107278,0,0
4053,0,0
48541,0,0
181066,0,0
14334,0,0
107641,0,0
235783,0,0
181233,0,1
134471,0,0
203572,0,0
243375,0,0
139635,0,0
22773,0,0
162531,0,0
234124,0,0
193723,1,0
210277,0,0
130979,0,0
81034,0,1
19561,0,0
93774,0,0
12047,0,0
152843,0,0
11071,0,0
57806,0,0
31500,0,0
15866,0,0
142759,1,0
150964,0,1
243482,0,0
252144,0,0
33175,0,0
101179,0,0
75533,0,0
4635,0,0
69146,0,0
224865,0,0
32410,0,0
49370,0,0
210285,0,0
252442,0,1
88612,0,0
98282,0,0
163314,0,0
23749,0,0
12586,1,0
131269,0,0
202632,0,0
28716,0,0
2010,0,0
32564,0,0
191579,0,0
120053,1,1
240272,0,0
147393,0,0
162240,0,0
193531,0,0
109172,0,0
235710,0,0
98335,0,0
115383,0,0
75912,0,1
38784,0,0
203065,0,0
110060,0,0
71221,0,1
224326,0,0
103929,0,0
12768,0,0
36975,0,0
157899,0,0
98816,0,0
61667,0,0
187534,0,0
129728,0,0
361,1,1
181669,0,0
70752,0,0
197765,0,0
87196,0,1
64424,0,0
88862,0,0
31862,0,0
111792,0,0
14447,1,0
202444,0,0
222941,0,0
180644,0,0
190917,0,0
135801,0,0
123443,0,0
244678,0,0
106013,0,0
19845,0,0
137947,0,0
114625,0,0
137842,0,1
118024,0,0
48171,0,0
81194,0,0
34395,0,0
67508,0,0
210753,0,0
77806,0,0
145303,0,0
102917,0,0
133947,0,0
6456,0,0
1966,1,0
223194,0,0
143211,0,1
245101,0,1
196645,0,1
6501,0,0
212709,0,0
16083,0,0
187897,0,0
82558,0,0
114189,0,0
247526,0,0
